frame,x1,y1,x2,y2
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,1124.0,91.0
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,85.0,362.0,,
87,182.0,245.0,,
88,361.0,210.0,,
89,589.0,165.0,,
90,833.0,143.0,,
91,1032.0,62.0,,
92,,,,
93,,,,
94,1008.0,210.0,73.0,407.0
95,1163.0,228.0,166.0,450.0
96,1287.0,247.0,255.0,495.0
97,1386.0,259.0,304.0,470.0
98,1459.0,257.0,331.0,498.0
99,1514.0,250.0,345.0,561.0
100,1560.0,250.0,357.0,562.0
101,1603.0,261.0,365.0,560.0
102,1642.0,279.0,372.0,559.0
103,1675.0,309.0,379.0,560.0
104,1790.0,233.0,387.0,566.0
105,1803.0,271.0,394.0,572.0
106,1804.0,302.0,400.0,575.0
107,1799.0,335.0,405.0,577.0
108,1795.0,364.0,411.0,579.0
109,1793.0,382.0,417.0,581.0
110,1785.0,403.0,427.0,589.0
111,1775.0,422.0,436.0,596.0
112,1762.0,434.0,437.0,598.0
113,1749.0,442.0,437.0,599.0
114,1730.0,453.0,438.0,599.0
115,1708.0,471.0,437.0,600.0
116,1687.0,491.0,437.0,601.0
117,1663.0,507.0,435.0,602.0
118,1639.0,521.0,435.0,550.0
119,1621.0,532.0,434.0,550.0
120,1609.0,538.0,433.0,550.0
121,1603.0,544.0,433.0,550.0
122,1603.0,547.0,434.0,550.0
123,1603.0,548.0,434.0,550.0
124,1603.0,549.0,434.0,550.0
125,1604.0,549.0,435.0,550.0
126,1606.0,552.0,436.0,550.0
127,1607.0,554.0,436.0,550.0
128,1608.0,556.0,437.0,551.0
129,1610.0,557.0,438.0,551.0
130,1610.0,557.0,439.0,551.0
131,1609.0,558.0,439.0,603.0
132,1608.0,558.0,441.0,603.0
133,1605.0,558.0,446.0,603.0
134,1600.0,559.0,455.0,602.0
135,1592.0,560.0,473.0,601.0
136,1578.0,560.0,495.0,596.0
137,1559.0,560.0,518.0,579.0
138,1539.0,561.0,543.0,563.0
139,1514.0,563.0,570.0,553.0
140,1486.0,564.0,600.0,554.0
141,1456.0,565.0,635.0,553.0
142,1424.0,565.0,675.0,554.0
143,1391.0,565.0,714.0,555.0
144,1356.0,565.0,759.0,555.0
145,1316.0,565.0,806.0,554.0
146,1272.0,566.0,852.0,547.0
147,1225.0,567.0,887.0,537.0
148,1177.0,568.0,901.0,530.0
149,1136.0,569.0,,
150,1088.0,569.0,,
151,1034.0,569.0,,
152,977.0,570.0,,
153,917.0,570.0,,
154,858.0,571.0,,
155,809.0,574.0,,
156,766.0,573.0,,
157,723.0,572.0,,
158,683.0,570.0,,
159,648.0,570.0,1386.0,575.0
