,x1,y1,x2,y2
0,,,840.0,1059.0
1,,,700.0,975.0
2,,,788.0,1026.0
3,,,788.0,1026.0
4,,,840.0,1059.0
5,,,839.0,1059.0
6,,,789.0,1026.0
7,,,840.0,1058.0
8,,,788.0,1026.0
9,,,788.0,1026.0
10,,,788.0,1026.0
11,,,788.0,1026.0
12,,,840.0,1059.0
13,,,839.0,1059.0
14,,,840.0,1059.0
15,,,840.0,1059.0
16,,,839.0,1059.0
17,,,839.0,1059.0
18,,,839.0,1059.0
19,,,840.0,1059.0
20,,,839.0,1059.0
21,,,840.0,1060.0
22,,,840.0,1060.0
23,,,840.0,1060.0
24,,,840.0,1060.0
25,,,839.0,1059.0
26,,,840.0,1059.0
27,,,839.0,1059.0
28,,,840.0,1060.0
29,,,778.0,1004.0
30,,,747.0,952.0
31,,,758.0,941.0
32,,,789.0,1025.0
33,,,789.0,1025.0
34,,,788.0,1024.0
35,,,841.0,927.0
36,,,825.0,1003.0
37,,,878.0,1062.0
38,,,754.0,962.0
39,,,753.0,947.0
40,,,694.0,901.0
41,,,728.0,871.0
42,,,496.0,708.0
43,,,493.0,737.0
44,,,305.0,612.0
45,,,326.0,767.0
46,,,199.0,833.0
47,,,73.0,786.0
48,,,11.0,859.0
49,,,10.0,832.0
50,,,4.0,836.0
51,,,,
52,,,65.0,763.0
53,,,42.0,506.0
54,,,94.0,477.0
55,,,117.0,455.0
56,,,95.0,397.0
57,,,225.0,504.0
58,,,237.0,494.0
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
